City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
143,la ronge,55.1005,-105.29,14.080000000000041,30,20,6.17,CA,2024-04-24 18:03:32
144,portland,45.5202,-122.6742,18.460000000000036,55,100,3.13,US,2024-04-24 18:02:07
145,waynesville,35.4887,-82.9889,18.350000000000023,42,72,1.34,US,2024-04-24 18:03:36
146,sonsorol village,35.4887,-82.9889,18.350000000000023,42,72,1.34,US,2024-04-24 18:03:36
147,tanjung selor,2.8418,117.3687,24.75,95,99,0.94,ID,2024-04-24 18:03:40
148,antakya,36.2043,36.164,23.54000000000002,66,100,1.9,TR,2024-04-24 18:03:42
149,tura,47.39,0.6889,8.32000000000005,71,0,1.54,FR,2024-04-24 18:03:44
150,vorkuta,67.5036,64.0627,-15.009999999999991,98,96,1.34,RU,2024-04-24 18:03:46
151,freetown,8.479,-13.268,27.560000000000002,65,75,5.14,SL,2024-04-24 18:03:48
152,argostolion,38.1757,20.4879,13.54000000000002,72,95,0.69,GR,2024-04-24 18:03:49
153,bikenibeu village,38.1757,20.4879,13.54000000000002,72,95,0.69,GR,2024-04-24 18:03:49
154,barbezieux-saint-hilaire,45.4812,-0.1419,10.350000000000023,90,99,2.74,FR,2024-04-24 18:03:54
155,college,45.3266,-75.8386,5.170000000000016,35,20,8.23,CA,2024-04-24 18:03:56
156,duobao,31.1344,104.683,15.260000000000048,89,97,1.07,CN,2024-04-24 18:03:59
157,port hedland,-20.3112,118.5801,24.02000000000004,38,100,3.6,AU,2024-04-24 18:04:00
158,san antonio de pale,-1.4046,5.6326,28.370000000000005,81,92,5.23,GQ,2024-04-24 18:04:02
159,antofagasta,-23.6464,-70.398,17.660000000000025,87,97,3.36,CL,2024-04-24 18:04:07
160,sao desiderio,-12.3572,-44.9769,27.600000000000023,52,96,0.61,BR,2024-04-24 18:04:10
161,black point,24.0963,-76.4023,24.02000000000004,63,0,5.7,BS,2024-04-24 18:04:11
162,howard springs,-12.497,131.047,27.710000000000036,94,97,3.72,AU,2024-04-24 18:04:16
163,gaiman,-43.2915,-65.4983,16.910000000000025,36,45,12.86,AR,2024-04-24 18:04:18
164,anadyr,64.7317,177.5061,-4.069999999999993,92,100,12.0,RU,2024-04-24 18:04:19
165,petropavlovsk-kamchatsky,53.02,158.6471,10.060000000000002,46,100,8.1,RU,2024-04-24 18:04:21
166,quthing,-30.4033,27.7023,13.28000000000003,34,48,0.78,LS,2024-04-24 18:04:23
167,happy valley-goose bay,53.2964,-60.3112,8.29000000000002,53,100,7.72,CA,2024-04-24 18:04:25
168,iba,15.3265,119.9801,29.08000000000004,68,34,1.1,PH,2024-04-24 18:04:29
169,valdivia,-39.8141,-73.246,12.050000000000011,96,100,3.3,CL,2024-04-24 18:04:34
170,usogorsk,63.4295,48.7062,0.34000000000003183,96,100,5.36,RU,2024-04-24 18:04:37
171,wellington,-41.2889,174.7772,17.400000000000034,61,75,12.86,NZ,2024-04-24 17:57:02
172,talnakh,69.494,88.3908,-8.009999999999991,95,86,0.91,RU,2024-04-24 18:04:40
173,skagen,57.726,10.5845,5.410000000000025,73,100,0.99,DK,2024-04-24 18:04:42
174,nizhniy kuranakh,58.8191,125.5293,-1.1499999999999773,87,100,3.01,RU,2024-04-24 18:04:45
175,okha,53.5891,142.9498,7.350000000000023,74,74,4.92,RU,2024-04-24 18:04:47
176,heinola,61.2027,26.0314,-0.5299999999999727,96,66,2.05,FI,2024-04-24 18:04:53
177,aubigny-sur-nere,47.4887,2.4382,4.490000000000009,79,98,0.55,FR,2024-04-24 18:04:55
178,melfort,52.8614,-104.6136,21.060000000000002,16,64,5.14,CA,2024-04-24 18:04:57
179,al burayqah,12.7524,44.8921,28.52000000000004,70,3,5.76,YE,2024-04-24 18:04:59
180,tukrah,32.5322,20.5722,17.370000000000005,61,98,1.97,LY,2024-04-24 18:05:08
181,uturoa,-16.7437,-151.4594,26.30000000000001,72,1,3.81,PF,2024-04-24 18:05:10
182,dalandzadgad,-16.7437,-151.4594,26.30000000000001,72,1,3.81,PF,2024-04-24 18:05:10
183,ocean pointe,-16.7437,-151.4594,26.30000000000001,72,1,3.81,PF,2024-04-24 18:05:10
184,nar'yan-mar,67.638,53.0071,-6.6200000000000045,82,5,5.81,RU,2024-04-24 18:05:30
185,susuman,62.7797,148.1536,-4.989999999999952,95,83,1.34,RU,2024-04-24 18:05:33
186,kelowna,49.8879,-119.4959,20.379999999999995,29,75,2.24,CA,2024-04-24 18:05:35
187,aral,40.5422,81.2771,18.860000000000014,28,59,3.82,CN,2024-04-24 18:05:51
188,naze,5.452,7.0567,27.150000000000034,85,100,2.0,NG,2024-04-24 18:05:54
189,enewetak,11.3409,162.3245,27.83000000000004,80,89,6.81,MH,2024-04-24 18:05:56
190,vorgashor,67.5812,63.7837,-15.269999999999982,98,96,1.89,RU,2024-04-24 18:06:13
191,codrington,51.5082,-2.3937,7.9500000000000455,68,64,0.89,GB,2024-04-24 18:06:15
192,carnarvon,-24.8826,113.6576,23.5,42,76,8.38,AU,2024-04-24 18:06:20
193,lompoc,34.6392,-120.4579,20.560000000000002,64,75,6.17,US,2024-04-24 18:06:22
194,noosa heads,-26.4001,153.091,23.220000000000027,62,96,2.13,AU,2024-04-24 18:06:45
195,kavalerovo,44.2674,135.0555,9.770000000000039,98,100,0.45,RU,2024-04-24 18:06:47
196,cambria,37.7814,-89.1192,19.090000000000032,54,40,4.63,US,2024-04-24 18:06:50
197,holualoa,19.6238,-155.9536,25.77000000000004,70,0,5.14,US,2024-04-24 18:06:52
198,general acha,-37.3762,-64.5998,11.670000000000016,59,0,5.19,AR,2024-04-24 18:06:55
199,monte patria,-30.6945,-70.958,19.930000000000007,40,94,1.7,CL,2024-04-24 18:06:57
200,maitum,6.0613,124.4957,28.170000000000016,71,100,1.16,PH,2024-04-24 18:06:59
201,hasaki,35.753,140.8201,17.939999999999998,83,89,2.88,JP,2024-04-24 18:07:00
202,arti,56.4256,58.5327,3.080000000000041,90,100,6.2,RU,2024-04-24 18:07:02
203,kalmunai,7.4132,81.8269,26.510000000000048,87,100,1.5,LK,2024-04-24 18:07:04
204,klyuchi,56.3182,160.8422,5.57000000000005,59,45,1.96,RU,2024-04-24 18:07:06
205,el alto,-16.5048,-68.1624,12.180000000000007,43,20,3.09,BO,2024-04-24 18:07:08
206,usinsk,65.9957,57.5571,-11.120000000000005,90,22,1.34,RU,2024-04-24 18:07:10
207,le port,42.8663,1.374,7.590000000000032,64,100,1.01,FR,2024-04-24 18:07:18
208,prince rupert,54.3127,-130.3255,8.520000000000039,70,82,2.7,CA,2024-04-24 18:07:23
209,nykarleby,63.5222,22.5284,0.5100000000000477,98,85,2.14,FI,2024-04-24 18:07:25
210,sebdou,34.6403,-1.322,8.610000000000014,45,98,2.15,DZ,2024-04-24 18:07:32
211,yuzhno-kurilsk,44.0271,145.8614,5.1299999999999955,98,100,6.8,RU,2024-04-24 18:07:34
212,dazhou,31.216,107.5028,16.129999999999995,91,100,0.93,CN,2024-04-24 18:07:35
213,mil'kovo,54.6904,158.6099,6.1299999999999955,39,85,3.23,RU,2024-04-24 18:07:37
214,mawlamyinegyunn,16.3833,95.2667,26.350000000000023,88,29,2.35,MM,2024-04-24 18:07:39
215,belyy yar,53.5964,91.3824,-7.079999999999984,63,40,3.0,RU,2024-04-24 18:07:41
216,yaren,-0.5471,166.9164,28.920000000000016,77,25,5.62,NR,2024-04-24 18:07:43
217,beichengqu,38.5085,114.9739,17.680000000000007,36,29,1.18,CN,2024-04-24 18:07:46
218,santa terezinha,-26.7813,-50.009,19.700000000000045,94,92,0.69,BR,2024-04-24 18:07:48
219,kuta,-8.7278,115.173,25.970000000000027,100,40,1.54,ID,2024-04-24 18:07:49
220,kandyagash,-8.7278,115.173,25.970000000000027,100,40,1.54,ID,2024-04-24 18:07:49
221,hawaiian paradise park,19.585,-154.9731,26.660000000000025,72,75,0.89,US,2024-04-24 18:07:53
222,mweka,-4.8477,21.5612,21.260000000000048,99,99,1.01,CD,2024-04-24 18:07:55
223,betio village,-4.8477,21.5612,21.260000000000048,99,99,1.01,CD,2024-04-24 18:07:55
224,new norfolk,-42.7802,147.0615,11.850000000000023,70,100,3.69,AU,2024-04-24 18:07:59
225,cabo san lucas,22.8939,-109.9201,32.450000000000045,28,0,3.6,MX,2024-04-24 18:08:04
226,cadale,2.7616,46.322,28.980000000000018,77,95,3.96,SO,2024-04-24 18:08:21
227,luderitz,-26.65,15.1573,15.770000000000039,76,22,6.22,NA,2024-04-24 18:08:22
228,mount gambier,-37.8247,140.782,13.420000000000016,75,55,2.64,AU,2024-04-24 18:08:25
229,berezovyy,52.8927,50.2243,10.410000000000025,65,100,2.81,RU,2024-04-24 18:08:28
230,findlay,41.0414,-83.6504,8.080000000000041,66,100,4.12,US,2024-04-24 18:08:30
231,soro,55.4366,11.5629,5.28000000000003,93,53,3.06,DK,2024-04-24 18:08:32
232,san alejo,13.4327,-87.9612,33.32000000000005,39,68,1.89,SV,2024-04-24 18:08:34
233,mukalla,14.5425,49.1231,26.78000000000003,67,56,0.77,YE,2024-04-24 18:08:37
234,puerto san carlos,-12.6608,-63.55,25.25,91,18,0.58,BR,2024-04-24 18:08:43
235,kulhudhuffushi,6.6233,73.0695,28.900000000000034,75,53,1.92,MV,2024-04-24 18:08:45
236,salamanca,40.9652,-5.664,7.8700000000000045,69,0,1.79,ES,2024-04-24 18:08:53
237,singaraja,-8.1134,115.0839,27.150000000000034,80,84,1.76,ID,2024-04-24 18:08:55
238,rocha,-34.481,-54.3366,13.700000000000045,80,44,2.03,UY,2024-04-24 18:09:18
239,tongchuan,34.8973,108.9404,15.879999999999995,51,55,1.98,CN,2024-04-24 18:09:20
240,galliano,44.0161,11.2913,4.470000000000027,100,62,1.21,IT,2024-04-24 18:09:21
241,flin flon,54.7698,-101.879,11.450000000000045,62,14,2.13,CA,2024-04-24 18:09:23
242,zirl,47.2734,11.2422,-4.699999999999989,95,97,2.26,AT,2024-04-24 18:09:25
243,bubaque,11.2997,-15.8335,26.02000000000004,69,63,10.21,GW,2024-04-24 18:09:27
244,arraial do cabo,-22.9663,-42.0244,25.210000000000036,83,59,1.57,BR,2024-04-24 18:09:01
245,eqbaliyeh,36.2306,49.9248,10.110000000000014,52,3,3.36,IR,2024-04-24 18:09:30
246,alice springs,-23.6984,133.8813,14.870000000000005,42,2,7.08,AU,2024-04-24 18:09:32
247,vredenburg,-32.9067,17.99,14.490000000000009,88,17,3.7,ZA,2024-04-24 18:09:34
248,kenai,60.5544,-151.2583,4.439999999999998,85,77,2.39,US,2024-04-24 18:07:37
249,tokar,18.8518,37.8989,28.04000000000002,83,17,3.91,SD,2024-04-24 18:09:37
250,ponta delgada,37.7394,-25.6684,15.460000000000036,74,40,5.36,PT,2024-04-24 18:09:39
251,safaga,26.7633,33.9384,28.650000000000034,33,10,2.53,EG,2024-04-24 18:09:41
252,floro,61.6003,5.035,4.230000000000018,72,17,2.19,NO,2024-04-24 18:09:43
253,tolanaro,-25.0297,46.9904,21.810000000000002,91,70,3.27,MG,2024-04-24 18:09:45
254,capitao poco,-1.7447,-47.0638,24.02000000000004,96,100,2.13,BR,2024-04-24 18:09:46
255,leninskoye,54.473,69.1826,-0.6499999999999773,55,33,5.08,KZ,2024-04-24 18:09:48
256,aquin,18.2809,-73.3944,26.08000000000004,81,45,2.01,HT,2024-04-24 18:09:50
